gar_bro_id,date,gmw_bro_id,nitg_code,tube_number,screen_top_m_nap,screen_bottom_m_nap,ground_level_m_nap,screen_depth_below_ground_m,NO3_mgL,NO3_limit,NH4_mgL,NH4_limit,NO2_mgL,NO2_limit,Cl_mgL,SO4_mgL
GAR000000004031,2018-12-03,GMW000000011596,B27A0220,4,-126.5,-127.5,-1.12,126.38,0.05,LT,0.1,,0.01,LT,5,13
GAR000000065412,2024-10-01,GMW000000011596,B27A0220,4,-126.5,-127.5,-1.12,126.38,2.06,,0.12,,0.01,LT,152.01,31.73
GAR000000061858,1998-08-14,GMW000000004898,B42H0185,4,-125.62,-126.62,-0.62,126.0,,,,,,,,12445
GAR000000004015,1958-02-17,GMW000000037715,B27A0005,4,-125.3,-126.3,-1.5,124.8,0.0045,LT,0.13,,0.006,LT,,14
GAR000000004016,1958-05-28,GMW000000037715,B27A0005,4,-125.3,-126.3,-1.5,124.8,0.0045,LT,0.14,,0.006,LT,,550
GAR000000004017,1959-02-03,GMW000000037715,B27A0005,4,-125.3,-126.3,-1.5,124.8,0.0045,LT,0.19,,0.006,LT,,540
GAR000000004018,1962-12-19,GMW000000037715,B27A0005,4,-125.3,-126.3,-1.5,124.8,0.0045,LT,0.21,,,,,522
GAR000000004019,1985-09-19,GMW000000037715,B27A0005,4,-125.3,-126.3,-1.5,124.8,0.02,LT,0.11,,0.006,LT,,9
GAR000000003895,1997-10-03,GMW000000011634,B26F0194,4,-125.24,-126.24,1.9,128.14,0.11,LT,0.16,,0.006,LT,0.5,11
GAR000000003896,2003-01-17,GMW000000011634,B26F0194,4,-125.24,-126.24,1.9,128.14,0.11,LT,0.07,,0.006,LT,0.5,10
GAR000000003897,2015-10-16,GMW000000011634,B26F0194,4,-125.24,-126.24,1.9,128.14,0.05,LT,0.05,LT,0.01,LT,5,150
GAR000000003898,2018-12-04,GMW000000011634,B26F0194,4,-125.24,-126.24,1.9,128.14,0.05,LT,0.05,LT,0.01,LT,5,18
GAR000000065400,2024-10-01,GMW000000011634,B26F0194,4,-125.24,-126.24,1.9,128.14,0.59,,0.04,,0.01,LT,88.87,8.52
GAR000000004518,1994-12-02,GMW000000037651,B26D0094,4,-123.73,-124.73,-3.71,121.02,0.01,LT,1.86,,0.01,LT,24,21
GAR000000004519,1998-11-27,GMW000000037651,B26D0094,4,-123.73,-124.73,-3.71,121.02,0.11,LT,2.48,,0.006,LT,1.2,16
GAR000000004520,2015-10-06,GMW000000037651,B26D0094,4,-123.73,-124.73,-3.71,121.02,0.05,LT,1.7,,0.01,,15,9.3
GAR000000004808,1994-11-14,GMW000000011592,B15H0054,4,-123.56,-124.56,-3.06,121.5,0.01,LT,2.48,,0.01,LT,6.6,350
GAR000000004809,1996-10-30,GMW000000011592,B15H0054,4,-123.56,-124.56,-3.06,121.5,0.11,LT,3.65,,0.006,,5.7,590
GAR000000004810,2003-01-22,GMW000000011592,B15H0054,4,-123.56,-124.56,-3.06,121.5,0.11,LT,4.12,,0.006,LT,9.8,750
GAR000000004811,2006-06-07,GMW000000011592,B15H0054,4,-123.56,-124.56,-3.06,121.5,0.01,LT,3.03,,0.003,LT,,770
GAR000000004812,2015-10-28,GMW000000011592,B15H0054,4,-123.56,-124.56,-3.06,121.5,0.05,LT,3.8,,0.01,,8.6,900
GAR000000004813,2018-11-05,GMW000000011592,B15H0054,4,-123.56,-124.56,-3.06,121.5,0.05,LT,3.7,,0.01,LT,14,790
GAR000000065335,2024-10-16,GMW000000011592,B15H0054,4,-123.56,-124.56,-3.06,121.5,0.05,LT,4.17,,0.01,LT,515.69,851.94
GAR000000004674,1981-07-09,GMW000000037683,B26A0018,4,-122.4,-123.4,1.62,125.02,0.02,LT,1.08,,0.006,LT,,340
GAR000000005401,1965-12-28,GMW000000037683,B26A0018,4,-122.4,-123.4,1.62,125.02,0.0045,LT,1.16,,0.006,LT,,369
GAR000000005402,1998-11-17,GMW000000037683,B26A0018,4,-122.4,-123.4,1.62,125.02,0.01,LT,0.93,,0.006,LT,1.2,245
