gar_bro_id,well,tube,date,NO3,NO3_uom,NO2,NO2_uom,NH4,NH4_uom,Ntot,Ntot_uom,PO4,PO4_uom,Ptot,Ptot_uom,Cl,Cl_uom,SO4,SO4_uom,HCO3,HCO3_uom,Ca,Ca_uom,Mg,Mg_uom,Na,Na_uom,K,K_uom,Fe,Fe_uom,Mn,Mn_uom
GAR000000064424,GMW000000049990,1,2024-09-30T06:57:36+02:00,3,mg/l,,,1.2,mg/l,,,,,0.06,mg/l,59,mg/l,37,mg/l,317,mg/l,94,mg/l,13,mg/l,47,mg/l,3,mg/l,10000,ug/l,2600,ug/l
GAR000000064426,GMW000000049990,2,2024-09-30T06:57:36+02:00,3,mg/l,,,1.1,mg/l,,,,,0.05,mg/l,57,mg/l,53,mg/l,354,mg/l,120,mg/l,14,mg/l,40,mg/l,9.4,mg/l,14000,ug/l,690,ug/l
GAR000000065324,GMW000000011633,1,2024-09-30T12:00:00+02:00,0.2,mg/l,0.01,mg/l,37.47,mg/l,,,0.01,mg/l,1.65,mg/l,325.8,mg/l,1,mg/l,533.62,mg/l,117.03,mg/l,28.03,mg/l,147.59,mg/l,10.91,mg/l,26233.69,ug/l,1718.52,ug/l
GAR000000065319,GMW000000037667,1,2024-09-30T12:00:00+02:00,0.05,mg/l,0.01,mg/l,0.06,mg/l,,,0.01,mg/l,0.11,mg/l,26.68,mg/l,159.42,mg/l,359.59,mg/l,160.31,mg/l,12.38,mg/l,16.05,mg/l,6.42,mg/l,41.73,ug/l,60.76,ug/l
GAR000000065321,GMW000000037667,3,2024-09-30T12:00:00+02:00,0.05,mg/l,0.01,mg/l,0.75,mg/l,,,0.01,mg/l,0.15,mg/l,12.89,mg/l,1,mg/l,342.39,mg/l,93.66,mg/l,8.04,mg/l,11.23,mg/l,2.14,mg/l,7595.73,ug/l,401.25,ug/l
GAR000000065314,GMW000000037705,1,2024-09-30T12:00:00+02:00,0.32,mg/l,0.01,mg/l,11.82,mg/l,,,0.01,mg/l,0.34,mg/l,1650.89,mg/l,1,mg/l,466.34,mg/l,477.2,mg/l,45.02,mg/l,638.74,mg/l,5.99,mg/l,31850.05,ug/l,931.49,ug/l
GAR000000064421,GMW000000038565,3,2024-10-01T06:57:36+02:00,0.17,mg/l,0.01,mg/l,0.38,mg/l,,,0.01,mg/l,0.31,mg/l,49.15,mg/l,47.43,mg/l,189.77,mg/l,79.21,mg/l,5.48,mg/l,13.62,mg/l,1,mg/l,12919.62,ug/l,459.3,ug/l
GAR000000065410,GMW000000011596,1,2024-10-01T12:00:00+02:00,0.06,mg/l,0.01,mg/l,3,mg/l,,,0.4,mg/l,1.25,mg/l,121,mg/l,41.29,mg/l,457.5,mg/l,131.21,mg/l,20.36,mg/l,71.51,mg/l,11.26,mg/l,1954.28,ug/l,397.71,ug/l
GAR000000065412,GMW000000011596,4,2024-10-01T12:00:00+02:00,2.06,mg/l,0.01,mg/l,0.12,mg/l,,,0.01,mg/l,0.12,mg/l,31.73,mg/l,56.77,mg/l,152.01,mg/l,55.51,mg/l,13.91,mg/l,12.71,mg/l,1.72,mg/l,3410.4,ug/l,230.27,ug/l
GAR000000065399,GMW000000011634,2,2024-10-01T12:00:00+02:00,0.36,mg/l,0.01,mg/l,0.08,mg/l,,,0.01,mg/l,0.14,mg/l,127.11,mg/l,65.21,mg/l,250.77,mg/l,104.52,mg/l,7.17,mg/l,77.3,mg/l,1.68,mg/l,5174.02,ug/l,330.48,ug/l
GAR000000065401,GMW000000011634,7,2024-10-01T12:00:00+02:00,0.22,mg/l,0.01,mg/l,0.25,mg/l,,,0.25,mg/l,0.43,mg/l,6.28,mg/l,3.37,mg/l,144.87,mg/l,34.68,mg/l,4.22,mg/l,9.84,mg/l,2.21,mg/l,404.58,ug/l,87.71,ug/l
GAR000000064900,GMW000000017643,1,2024-10-01T12:00:00+02:00,0.08,mg/l,0.01,mg/l,7.78,mg/l,,,1.47,mg/l,1.44,mg/l,63.49,mg/l,152.79,mg/l,681.98,mg/l,131.02,mg/l,63.36,mg/l,55.55,mg/l,22.94,mg/l,20,ug/l,341.43,ug/l
GAR000000064922,GMW000000017643,4,2024-10-01T12:00:00+02:00,0.05,mg/l,0.01,mg/l,1.12,mg/l,,,0.48,mg/l,0.79,mg/l,39.16,mg/l,1,mg/l,303.04,mg/l,77.75,mg/l,11.95,mg/l,24.51,mg/l,5.78,mg/l,2652.62,ug/l,105.63,ug/l
